;mae;mse;rmse;mape;n
SANSED04#G07Sd01;161.598411246736;27822.9600862411;166.802158517932;0.225033857103805;5
SANSED04#G07Sd02;66.6364290889547;5467.51167155665;73.9426241863017;0.109033602123972;5
SANSED04#G07Sd03;211.448100024653;45122.2895325821;212.420077988363;0.455238348191266;5
SANSED04#G08Sd01;117.83769172916;14149.4194925842;118.951332454009;0.329123423391839;5
SANSED04#G08Sd02;36.8921141268689;1898.33707353184;43.5699101850329;0.0875906852448044;5
SANSED04#G08Sd03;63.7408970289761;4352.96046769415;65.9769692217985;0.131327343795961;5
SANSED04#G09Sd01;69.9610534799309;5114.81091973248;71.517906287394;0.219789131638761;5
SANSED04#G10Sd01;95.0019044084939;9037.91526720876;95.0679507889423;0.266099576500829;5
SANSED04#G10Sd02;31.9397318472373;1028.33845012789;32.067716634146;0.102809043989627;5
SANSED04#G10Sd03;62.3708299038342;4533.17976179154;67.3288924741194;0.266807926246454;5
SANSED04#H06Sd01;184.200476525423;34729.8126608911;186.35936429622;0.201043240631806;5
SANSED04#H06Sd02;229.127437240307;52943.6319859783;230.094832592951;0.189268267156552;5
SANSED04#H06Sd03;95.9583526952609;9394.5665252042;96.9255720911886;0.0983883994346773;5
SANSED04#H07Sd01;172.484486433836;57164.7137108359;239.091433788072;0.199219115974709;5
SANSED04#H07Sd02;219.523873119822;54933.6477713736;234.37928187315;0.229151577302999;5
SANSED04#H07Sd03;839.34072969259;704624.913223021;839.419390545049;0.479639601042071;5
SANSED04#H08Sd01;241.473065108714;59264.1802438599;243.442355073763;0.236356557564568;5
SANSED04#H08Sd02;99.871638326408;12024.7564471023;109.657450486058;0.110602088718738;5
SANSED04#H08Sd03;290.867368290771;85312.3045720137;292.082701596677;0.436300032192161;5
SANSED04#H09Sd01;64.2810476189975;4156.42314205634;64.4703276093455;0.0960544458565264;5
SANSED04#H09Sd02;103.459027581142;10715.5572142358;103.515975647413;0.185856656548526;5
SANSED04#H09Sd03;33.0972694479357;1345.20627799606;36.6770538347351;0.0506913702017927;5
SANSED04#H10Sd01;156.514861508265;24917.8597839673;157.853919127677;0.292961117174203;5
SANSED04#H10Sd02;7.8128776928298;79.6737593277893;8.92601587091292;0.018482589729222;5
SANSED04#H10Sd03;29.685368998167;1655.56968867244;40.688692393249;0.0709088634167662;5
SANSED04#H11Sd01;183.859162728539;34515.6229649126;185.783807057861;0.51868767497183;5
SANSED04#H11Sd02;163.358868522182;28141.4765803903;167.754214791731;1.93225535109393;5
SANSED04#H11Sd03;118.696608679665;14129.6865793945;118.868358192559;0.955164942962319;5
SANSED02#P01Sd01;16.4005801241421;280.17318347171;16.7383745767536;0.13306803214181;5
SANSED02#P01Sd02;7.94325359462794;77.4011876226851;8.79779447490592;0.0746246027147983;5
SANSED02#P02Sd01;3.72050958597767;19.4046370629235;4.40506947310976;0.032612515579702;5
SANSED02#P02Sd02;33.3586548739121;1115.01652083529;33.3918630932041;0.396967064729785;5
SANSED02#P02Sd03;24.1304831017632;644.097769293257;25.3790813327287;0.194979805734651;5
SANSED04#P11Sd01;97.3724926507725;9570.80291155993;97.8304804831292;0.401660592956368;5
SANSED04#P11Sd02;18.601140674759;348.312258396226;18.6631256330826;0.118198234027267;5
SANSED04#P11Sd03;9.83277880095307;411.469237913012;20.2847045310749;0.0572896618154693;5
SANSED04#P12Sd01;22.3562529358437;586.655018657044;24.2209623809015;0.166274242418551;5
SANSED04#P12Sd02;8.81335335231242;129.651768920668;11.3864730676653;0.0638560105050832;5
SANSED04#P12Sd03;46.9774877771599;2297.58955769939;47.9331780471459;0.429023635315346;5
SANSED05#D05Sd01;28.0229644023675;1019.38486876844;31.9278071399906;0.139652187621295;5
SANSED05#D05Sd02;78.2273828860737;6212.59113801214;78.8199919944942;0.676648048743299;5
SANSED05#D05Sd03;96.1097456336315;9323.19114200072;96.5566732132002;0.920541679052674;5
SANSED05#E01Sd01;156.844669890624;29876.5250070284;172.848271634484;0.246174092062283;5
